2026-06-09 15:03:52.848 +05:00 [INF] HTTP GET /api/lookup/lot-detail responded 404 in 18.5018 ms
2026-06-09 15:04:13.104 +05:00 [INF] HTTP GET /SalesInvoices responded 200 in 35.7353 ms
2026-06-09 15:04:13.152 +05:00 [INF] HTTP GET /css/site.css responded 304 in 0.2935 ms
2026-06-09 15:04:13.161 +05:00 [INF] HTTP GET /js/app.js responded 304 in 0.4450 ms
2026-06-09 15:04:13.164 +05:00 [INF] HTTP GET /js/modules/sales-invoices.js responded 304 in 1.7000 ms
2026-06-09 15:04:13.174 +05:00 [INF] HTTP GET /js/modules/sales-invoice-fbr.js responded 304 in 1.1591 ms
2026-06-09 15:04:13.298 +05:00 [INF] HTTP GET /api/company/current responded 200 in 13.2383 ms
2026-06-09 15:04:13.298 +05:00 [INF] HTTP GET /api/company/list responded 200 in 16.2125 ms
2026-06-09 15:04:13.354 +05:00 [INF] HTTP GET /api/company/current responded 200 in 16.7007 ms
2026-06-09 15:04:13.439 +05:00 [INF] HTTP GET /api/sales-invoices/datatable responded 200 in 104.1762 ms
2026-06-09 15:04:20.426 +05:00 [INF] HTTP GET /InventoryReports responded 200 in 24.1642 ms
2026-06-09 15:04:20.516 +05:00 [INF] HTTP GET /api/company/current responded 200 in 32.6539 ms
2026-06-09 15:04:20.557 +05:00 [INF] HTTP GET /api/company/list responded 200 in 33.0348 ms
2026-06-09 15:04:20.613 +05:00 [INF] HTTP GET /api/company/current responded 200 in 8.2874 ms
2026-06-09 15:04:23.533 +05:00 [INF] HTTP GET /InventoryReports/StockSummary responded 200 in 22.5377 ms
2026-06-09 15:04:23.577 +05:00 [INF] HTTP GET /js/modules/inventory-report-stock-summary.js responded 200 in 3.2702 ms
2026-06-09 15:04:23.628 +05:00 [INF] HTTP GET /api/company/current responded 200 in 6.6533 ms
2026-06-09 15:04:23.664 +05:00 [INF] HTTP GET /api/company/list responded 200 in 42.8980 ms
2026-06-09 15:04:23.718 +05:00 [INF] HTTP GET /api/company/current responded 200 in 9.3747 ms
2026-06-09 15:04:23.749 +05:00 [INF] HTTP GET /api/inventory-reports/categories responded 200 in 41.5373 ms
2026-06-09 15:04:23.863 +05:00 [INF] HTTP GET /api/inventory-reports/stock-summary responded 200 in 102.6723 ms
2026-06-09 15:04:37.083 +05:00 [INF] HTTP GET /api/inventory-reports/stock-summary responded 200 in 43.2808 ms
2026-06-09 15:05:25.314 +05:00 [INF] HTTP GET /api/inventory-reports/stock-summary responded 200 in 38.2373 ms
2026-06-09 15:05:38.360 +05:00 [INF] HTTP GET /InventoryReports responded 200 in 13.6517 ms
2026-06-09 15:05:38.402 +05:00 [INF] HTTP GET /css/site.css responded 304 in 0.7166 ms
2026-06-09 15:05:38.407 +05:00 [INF] HTTP GET /js/app.js responded 304 in 1.0441 ms
2026-06-09 15:05:38.510 +05:00 [INF] HTTP GET /api/company/current responded 200 in 16.6891 ms
2026-06-09 15:05:38.523 +05:00 [INF] HTTP GET /api/company/list responded 200 in 9.3254 ms
2026-06-09 15:05:38.547 +05:00 [INF] HTTP GET /api/company/current responded 200 in 8.2061 ms
2026-06-09 15:05:45.893 +05:00 [INF] HTTP GET /SalesInvoices/Create responded 200 in 14.1380 ms
2026-06-09 15:05:45.934 +05:00 [INF] HTTP GET /js/modules/lot-stack-line-helper.js responded 304 in 0.2345 ms
2026-06-09 15:05:45.939 +05:00 [INF] HTTP GET /js/modules/sales-invoice-create.js responded 304 in 0.2772 ms
2026-06-09 15:05:46.030 +05:00 [INF] HTTP GET /api/company/list responded 200 in 8.2951 ms
2026-06-09 15:05:46.035 +05:00 [INF] HTTP GET /api/company/current responded 200 in 8.1272 ms
2026-06-09 15:05:46.054 +05:00 [INF] HTTP GET /api/company/current responded 200 in 7.4525 ms
2026-06-09 15:05:46.127 +05:00 [INF] HTTP GET /api/lookup/scenario-types responded 200 in 72.3258 ms
2026-06-09 15:05:46.132 +05:00 [INF] HTTP GET /api/sales-invoices/tax-rates responded 200 in 77.4084 ms
2026-06-09 15:05:46.158 +05:00 [INF] HTTP GET /api/sales-invoices/next-invoice-number responded 200 in 109.2280 ms
2026-06-09 15:05:46.164 +05:00 [INF] HTTP GET /api/lookup/lot-numbers responded 200 in 109.3196 ms
2026-06-09 15:05:46.167 +05:00 [INF] HTTP GET /api/sales-invoices/customers responded 200 in 115.9378 ms
2026-06-09 15:05:46.184 +05:00 [INF] HTTP GET /api/sales-invoices/items responded 200 in 129.6455 ms
2026-06-09 15:05:46.268 +05:00 [INF] HTTP GET /api/lookup/lot-detail responded 200 in 44.7924 ms
2026-06-09 15:05:58.215 +05:00 [INF] HTTP GET /api/lookup/lot-detail responded 200 in 10.7103 ms
2026-06-09 15:05:58.590 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 68.1391 ms
2026-06-09 15:06:26.226 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 8.9787 ms
2026-06-09 15:06:38.658 +05:00 [INF] HTTP GET /SalesInvoices responded 200 in 10.6210 ms
2026-06-09 15:06:38.739 +05:00 [INF] HTTP GET /api/company/list responded 200 in 10.7359 ms
2026-06-09 15:06:38.739 +05:00 [INF] HTTP GET /api/company/current responded 200 in 10.9439 ms
2026-06-09 15:06:38.827 +05:00 [INF] HTTP GET /api/company/current responded 200 in 13.5650 ms
2026-06-09 15:06:38.854 +05:00 [INF] HTTP GET /api/sales-invoices/datatable responded 200 in 40.0892 ms
2026-06-09 15:06:43.788 +05:00 [INF] HTTP GET /Items responded 200 in 21.6678 ms
2026-06-09 15:06:43.827 +05:00 [INF] HTTP GET /js/modules/items.js responded 304 in 0.2391 ms
2026-06-09 15:06:43.930 +05:00 [INF] HTTP GET /api/company/current responded 200 in 13.3322 ms
2026-06-09 15:06:43.931 +05:00 [INF] HTTP GET /api/company/list responded 200 in 15.8336 ms
2026-06-09 15:06:43.954 +05:00 [INF] HTTP GET /api/company/current responded 200 in 6.1589 ms
2026-06-09 15:06:43.975 +05:00 [INF] HTTP GET /api/lookup/units-of-measure responded 200 in 31.1077 ms
2026-06-09 15:06:43.976 +05:00 [INF] HTTP GET /api/items/categories responded 200 in 31.3021 ms
2026-06-09 15:06:44.063 +05:00 [INF] HTTP GET /api/items/datatable responded 200 in 67.7877 ms
2026-06-09 15:06:54.259 +05:00 [INF] HTTP GET /api/items/datatable responded 200 in 75.0450 ms
2026-06-09 15:06:54.969 +05:00 [INF] HTTP GET /api/items/datatable responded 200 in 27.8256 ms
2026-06-09 15:06:58.970 +05:00 [INF] HTTP GET /api/items/2269 responded 200 in 53.7356 ms
2026-06-09 15:07:03.849 +05:00 [INF] HTTP PUT /api/items/2269 responded 200 in 219.2087 ms
2026-06-09 15:07:03.880 +05:00 [INF] HTTP GET /api/items/datatable responded 200 in 23.2479 ms
2026-06-09 15:07:05.162 +05:00 [INF] HTTP GET /api/items/2270 responded 200 in 5.4225 ms
2026-06-09 15:07:08.007 +05:00 [INF] HTTP PUT /api/items/2270 responded 200 in 18.0237 ms
2026-06-09 15:07:08.049 +05:00 [INF] HTTP GET /api/items/datatable responded 200 in 34.3222 ms
2026-06-09 15:07:11.954 +05:00 [INF] HTTP GET /api/items/2884 responded 200 in 4.7070 ms
2026-06-09 15:07:20.450 +05:00 [INF] HTTP DELETE /api/items/2884 responded 200 in 50.4535 ms
2026-06-09 15:07:20.487 +05:00 [INF] HTTP GET /api/items/datatable responded 200 in 30.1270 ms
2026-06-09 15:07:22.783 +05:00 [INF] HTTP DELETE /api/items/2885 responded 200 in 15.9024 ms
2026-06-09 15:07:22.823 +05:00 [INF] HTTP GET /api/items/datatable responded 200 in 33.1367 ms
2026-06-09 15:17:50.670 +05:00 [INF] HTTP GET /PakistanAccountingERP.Web.styles.css responded 200 in 21.3638 ms
2026-06-09 15:18:54.819 +05:00 [FTL] Application terminated unexpectedly
Microsoft.Extensions.Hosting.HostAbortedException: The host was aborted.
   at Microsoft.Extensions.Hosting.HostFactoryResolver.HostingListener.ThrowHostAborted()
   at Microsoft.Extensions.Hosting.HostFactoryResolver.HostingListener.OnNext(KeyValuePair`2 value)
   at System.Diagnostics.DiagnosticListener.Write(String name, Object value)
   at Microsoft.Extensions.Hosting.HostBuilder.ResolveHost(IServiceProvider serviceProvider, DiagnosticListener diagnosticListener)
   at Microsoft.Extensions.Hosting.HostApplicationBuilder.Build()
   at Microsoft.AspNetCore.Builder.WebApplicationBuilder.Build()
   at Program.<Main>$(String[] args) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Web\Program.cs:line 60
2026-06-09 15:19:24.441 +05:00 [FTL] Application terminated unexpectedly
Microsoft.Extensions.Hosting.HostAbortedException: The host was aborted.
   at Microsoft.Extensions.Hosting.HostFactoryResolver.HostingListener.ThrowHostAborted()
   at Microsoft.Extensions.Hosting.HostFactoryResolver.HostingListener.OnNext(KeyValuePair`2 value)
   at System.Diagnostics.DiagnosticListener.Write(String name, Object value)
   at Microsoft.Extensions.Hosting.HostBuilder.ResolveHost(IServiceProvider serviceProvider, DiagnosticListener diagnosticListener)
   at Microsoft.Extensions.Hosting.HostApplicationBuilder.Build()
   at Microsoft.AspNetCore.Builder.WebApplicationBuilder.Build()
   at Program.<Main>$(String[] args) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Web\Program.cs:line 60
2026-06-09 15:20:02.318 +05:00 [FTL] Application terminated unexpectedly
Microsoft.Extensions.Hosting.HostAbortedException: The host was aborted.
   at Microsoft.Extensions.Hosting.HostFactoryResolver.HostingListener.ThrowHostAborted()
   at Microsoft.Extensions.Hosting.HostFactoryResolver.HostingListener.OnNext(KeyValuePair`2 value)
   at System.Diagnostics.DiagnosticListener.Write(String name, Object value)
   at Microsoft.Extensions.Hosting.HostBuilder.ResolveHost(IServiceProvider serviceProvider, DiagnosticListener diagnosticListener)
   at Microsoft.Extensions.Hosting.HostApplicationBuilder.Build()
   at Microsoft.AspNetCore.Builder.WebApplicationBuilder.Build()
   at Program.<Main>$(String[] args) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Web\Program.cs:line 60
2026-06-09 15:20:02.455 +05:00 [INF] HTTP POST /Account/Logout responded 302 in 30.9670 ms
2026-06-09 15:20:02.501 +05:00 [INF] HTTP GET /Account/Login responded 200 in 12.0104 ms
2026-06-09 15:21:58.060 +05:00 [FTL] Application terminated unexpectedly
Microsoft.Extensions.Hosting.HostAbortedException: The host was aborted.
   at Microsoft.Extensions.Hosting.HostFactoryResolver.HostingListener.ThrowHostAborted()
   at Microsoft.Extensions.Hosting.HostFactoryResolver.HostingListener.OnNext(KeyValuePair`2 value)
   at System.Diagnostics.DiagnosticListener.Write(String name, Object value)
   at Microsoft.Extensions.Hosting.HostBuilder.ResolveHost(IServiceProvider serviceProvider, DiagnosticListener diagnosticListener)
   at Microsoft.Extensions.Hosting.HostApplicationBuilder.Build()
   at Microsoft.AspNetCore.Builder.WebApplicationBuilder.Build()
   at Program.<Main>$(String[] args) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Web\Program.cs:line 60
2026-06-09 15:22:40.512 +05:00 [FTL] Application terminated unexpectedly
Microsoft.Extensions.Hosting.HostAbortedException: The host was aborted.
   at Microsoft.Extensions.Hosting.HostFactoryResolver.HostingListener.ThrowHostAborted()
   at Microsoft.Extensions.Hosting.HostFactoryResolver.HostingListener.OnNext(KeyValuePair`2 value)
   at System.Diagnostics.DiagnosticListener.Write(String name, Object value)
   at Microsoft.Extensions.Hosting.HostBuilder.ResolveHost(IServiceProvider serviceProvider, DiagnosticListener diagnosticListener)
   at Microsoft.Extensions.Hosting.HostApplicationBuilder.Build()
   at Microsoft.AspNetCore.Builder.WebApplicationBuilder.Build()
   at Program.<Main>$(String[] args) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Web\Program.cs:line 60
2026-06-09 15:28:58.885 +05:00 [WRN] Entity 'ChartOfAccount' has a global query filter defined and is the required end of a relationship with the entity 'JournalEntryLine'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-09 15:28:58.947 +05:00 [WRN] Entity 'Item' has a global query filter defined and is the required end of a relationship with the entity 'SalesInvoiceLine'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-09 15:28:58.949 +05:00 [WRN] Entity 'Company' has a global query filter defined and is the required end of a relationship with the entity 'UserCompany'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-09 15:28:58.951 +05:00 [WRN] Entity 'VendorBill' has a global query filter defined and is the required end of a relationship with the entity 'VendorBillLine'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-09 15:28:59.053 +05:00 [WRN] The 'JournalStatus' property 'Status' on entity type 'JournalEntry' is configured with a database-generated default, but has no configured sentinel value. The database-generated default will always be used for inserts when the property has the value '0', since this is the CLR default for the 'JournalStatus' type. Consider using a nullable type, using a nullable backing field, or setting the sentinel value for the property to ensure the database default is used when, and only when, appropriate. See https://aka.ms/efcore-docs-default-values for more information.
2026-06-09 15:28:59.845 +05:00 [INF] No pending EF migrations.
2026-06-09 15:29:00.845 +05:00 [INF] Company data already exists; ensuring chart of accounts and demo items.
2026-06-09 15:29:01.001 +05:00 [INF] Pakistan Accounting ERP started (Development)
2026-06-09 15:29:01.488 +05:00 [ERR] Database backup failed.
Microsoft.Data.SqlClient.SqlException (0x80131904): Cannot open backup device 'C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Web\bin\Debug\net8.0\App_Data\Backups\PakistanAccountingERP_20260609_152901.bak'. Operating system error 5(Access is denied.).
BACKUP DATABASE is terminating abnormally.
   at Microsoft.Data.SqlClient.SqlConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)
   at Microsoft.Data.SqlClient.SqlInternalConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)
