   at PakistanAccountingERP.Infrastructure.Services.ScheduledBackupHostedService.ExecuteAsync(CancellationToken stoppingToken) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Infrastructure\Services\ScheduledBackupHostedService.cs:line 44
2026-06-07 20:27:29.738 +05:00 [INF] HTTP GET /api/company/list responded 200 in 8.0390 ms
2026-06-07 20:27:29.813 +05:00 [INF] HTTP GET /api/company/current responded 200 in 8.1440 ms
2026-06-07 20:27:33.990 +05:00 [INF] HTTP GET /JournalEntries responded 200 in 6.4118 ms
2026-06-07 20:27:34.072 +05:00 [INF] HTTP GET /api/company/current responded 200 in 16.0908 ms
2026-06-07 20:27:34.079 +05:00 [INF] HTTP GET /api/company/list responded 200 in 23.6005 ms
2026-06-07 20:27:34.157 +05:00 [INF] HTTP GET /api/company/current responded 200 in 6.4910 ms
2026-06-07 20:27:34.174 +05:00 [INF] HTTP GET /api/journal-entries/datatable responded 200 in 25.7769 ms
2026-06-07 20:27:38.231 +05:00 [INF] HTTP GET /Banks responded 200 in 18.8220 ms
2026-06-07 20:27:38.277 +05:00 [INF] HTTP GET /js/modules/banks.js responded 304 in 0.6564 ms
2026-06-07 20:27:38.318 +05:00 [INF] HTTP GET /api/company/list responded 200 in 7.1262 ms
2026-06-07 20:27:38.329 +05:00 [INF] HTTP GET /api/company/current responded 200 in 13.0517 ms
2026-06-07 20:27:38.394 +05:00 [INF] HTTP GET /api/company/current responded 200 in 7.8148 ms
2026-06-07 20:27:38.426 +05:00 [INF] HTTP GET /api/banks/chart-of-accounts responded 200 in 33.0343 ms
2026-06-07 20:27:38.508 +05:00 [INF] HTTP GET /api/banks/datatable responded 200 in 62.7468 ms
2026-06-07 20:28:07.797 +05:00 [INF] HTTP GET /BankTransactions responded 200 in 24.0343 ms
2026-06-07 20:28:07.841 +05:00 [INF] HTTP GET /PakistanAccountingERP.Web.styles.css responded 304 in 0.2258 ms
2026-06-07 20:28:07.847 +05:00 [INF] HTTP GET /js/modules/bank-transactions.js responded 304 in 0.4779 ms
2026-06-07 20:28:07.981 +05:00 [INF] HTTP GET /api/company/list responded 200 in 25.3435 ms
2026-06-07 20:28:07.993 +05:00 [INF] HTTP GET /api/company/current responded 200 in 28.3275 ms
2026-06-07 20:28:08.010 +05:00 [INF] HTTP GET /api/company/current responded 200 in 7.4437 ms
2026-06-07 20:28:08.049 +05:00 [INF] HTTP GET /api/bank-transactions/banks responded 200 in 41.0335 ms
2026-06-07 20:28:08.157 +05:00 [INF] HTTP GET /api/bank-transactions/datatable responded 200 in 87.9503 ms
2026-06-07 20:28:24.748 +05:00 [INF] HTTP GET /Banks responded 200 in 7.6203 ms
2026-06-07 20:28:24.886 +05:00 [INF] HTTP GET /api/company/list responded 200 in 6.6786 ms
2026-06-07 20:28:24.900 +05:00 [INF] HTTP GET /api/company/current responded 200 in 9.6242 ms
2026-06-07 20:28:24.909 +05:00 [INF] HTTP GET /api/company/current responded 200 in 6.4010 ms
2026-06-07 20:28:24.928 +05:00 [INF] HTTP GET /api/banks/chart-of-accounts responded 200 in 10.8499 ms
2026-06-07 20:28:24.973 +05:00 [INF] HTTP GET /api/banks/datatable responded 200 in 26.5690 ms
2026-06-07 20:28:40.617 +05:00 [INF] HTTP GET /SalesReports responded 200 in 20.0573 ms
2026-06-07 20:28:40.659 +05:00 [INF] HTTP GET /PakistanAccountingERP.Web.styles.css responded 304 in 0.8114 ms
2026-06-07 20:28:40.712 +05:00 [INF] HTTP GET /api/company/current responded 200 in 8.1983 ms
2026-06-07 20:28:40.727 +05:00 [INF] HTTP GET /api/company/list responded 200 in 8.3857 ms
2026-06-07 20:28:40.807 +05:00 [INF] HTTP GET /api/company/current responded 200 in 6.5858 ms
2026-06-07 20:28:44.183 +05:00 [INF] HTTP GET /PurchaseReports responded 200 in 18.1897 ms
2026-06-07 20:28:44.241 +05:00 [INF] HTTP GET /api/company/current responded 200 in 9.8006 ms
2026-06-07 20:28:44.259 +05:00 [INF] HTTP GET /api/company/list responded 200 in 8.1764 ms
2026-06-07 20:28:44.328 +05:00 [INF] HTTP GET /api/company/current responded 200 in 10.3010 ms
2026-06-07 20:28:47.020 +05:00 [INF] HTTP GET /CompanySettings responded 200 in 23.6585 ms
2026-06-07 20:28:47.063 +05:00 [INF] HTTP GET /js/modules/company-settings.js responded 304 in 0.4968 ms
2026-06-07 20:28:47.129 +05:00 [INF] HTTP GET /api/company/list responded 200 in 29.3840 ms
2026-06-07 20:28:47.149 +05:00 [INF] HTTP GET /api/company/current responded 200 in 49.0912 ms
2026-06-07 20:28:47.185 +05:00 [INF] HTTP GET /api/lookup/provinces responded 200 in 84.8058 ms
2026-06-07 20:28:47.209 +05:00 [INF] HTTP GET /api/company/current responded 200 in 7.1126 ms
2026-06-07 20:28:47.257 +05:00 [INF] HTTP GET /api/company/manage responded 200 in 47.8572 ms
2026-06-07 20:28:47.296 +05:00 [INF] HTTP GET /api/company-settings responded 200 in 92.8995 ms
